run_id,phase,protocol,status,pid,config_sha256,source_sha256,output_path,started_at,completed_at,evidence_eligible,notes
legacy_oracle_property_v1,phase_1,analytical_oracle_and_metamorphic_validation_v1,complete,,,9858b62ce369a109701a725cda507ba204f1fde042092eba1e884cd2e4eb687a,results/measurement_validation_20260831/oracle_suite_v1/oracle_validation.json,,,true,"6/6 analytical cases and 7/7 property invariants passed; artifact SHA recorded in evidence ledger"
legacy_mutation_suite_v1,phase_1,audit_instrument_mutation_suite_v1,complete,,,41b0d8bb45756f3297f343a3eb013a18a8bb8e5f0a620c5c16a1265b01267cf3,results/measurement_validation_20260831/mutation_suite_v1/mutation_validation.json,,,true,"6/6 prespecified mutations killed; artifact SHA recorded in evidence ledger"
legacy_parity_300_base_975_directional_v1,phase_1,native_production_numpy_reference_parity_v1,complete,,,cf06325e103ebc5e5d2ec9359cd6cb1271510c2ddb4e56931de7c99a655217b3,results/measurement_validation_20260831/parity_full_v1/summary.json,,,true,"300 base plus 975 deterministic directional states; zero mismatches"
20260831T130532_parity_exhaustive_v1,phase_1,native_production_numpy_reference_parity_v1,incomplete,,,cf06325e103ebc5e5d2ec9359cd6cb1271510c2ddb4e56931de7c99a655217b3,results/measurement_validation_20260831/parity_exhaustive_v1,2026-08-31T13:05:32+08:00,2026-08-31T15:20:00+08:00,false,"Stopped without checkpoint; see INCOMPLETE.json; never evidence"
20260831T152124_parity_deterministic_5k_v1,phase_1,native_production_numpy_reference_parity_v1,complete,,f347ecf401c1267c4d21f255a5724481009088cb16681f685f0e55b096d136da,cf06325e103ebc5e5d2ec9359cd6cb1271510c2ddb4e56931de7c99a655217b3,results/measurement_validation_20260831/parity_deterministic_5k_v1,2026-08-31T15:21:24+08:00,2026-08-31T15:48:34+08:00,true,"300 base plus 5251 deterministic directional states; zero mismatches"
legacy_eligibility_stable_sensitivity_v2,phase_2,eligibility_stable_sensitivity_and_paired_pathway_contrast_v1,complete,,,,results/five_experiment_upgrade_20260830/eligibility_stable_sensitivity_v2/summary.json,,,true,"Conditioning sensitivity; source input hashes are contained in the artifact"
legacy_eligibility_lock_counterfactual_v1,phase_2,native_vs_base_eligibility_lock_v1,complete,,,,results/measurement_validation_20260831/eligibility_lock_v1/summary.json,,,true,"Read-only structural gate ablation; source hash unavailable in legacy manifest"
legacy_corrected_pathway_anatomy_v2,phase_2,first_divergence_bootstrap_v2,complete,,,,results/five_experiment_upgrade_20260830/anatomy_bootstrap_summary_v2.json,,,true,"Corrected v2 anatomy supersedes pre-fix Top-k proportions"
legacy_same_stride_conditional_v1,phase_2,strict_same_stride_conditional_fragility_v1,complete,,,,results/same_stride_conditional_v1/summary.json,,,true,"Conditional sensitivity; source maps are contained in the artifact"
legacy_learning_dynamics_v1,phase_2,archived_checkpoint_learning_dynamics_v1,complete,,,,results/five_experiment_upgrade_20260830/learning_dynamics/learning_dynamics_summary.json,,,true,"Six physically preserved checkpoints; no interpolation"
legacy_yolov10_normalized_k00625_v1,phase_2,normalized_o2m_o2o_replay_and_incremental_value_v1,complete,,,,results/five_experiment_upgrade_20260830/yolov10_normalized_k00625/normalized_perturbation_summary.json,,,true,"Cross-architecture normalized-stress discovery replication"
20260831_boundary_reference_smoke_v1,phase_2,continuous_boundary_numpy_reference_subset_v1,failed,,,ca6e7421ae9a3d6bc91b5fd4be2750d55b1d8939135e8e4fca6e343f4d09e898,results/measurement_validation_20260831/boundary_reference_smoke_v1,2026-08-31T15:51:00+08:00,2026-08-31T15:55:23+08:00,false,"Selector-contract failure; retained; not a semantic mismatch result"
20260831_rank_set_smoke_v2,phase_2,o2m_rank_set_decoupling_v1,complete,,,6a2888117f36afeb13bc0f04ed192c4e5970457dadb314d2ae41d29eebf96b27,results/measurement_validation_20260831/rank_set_smoke_v2,2026-08-31T15:49:00+08:00,2026-08-31T15:49:45+08:00,false,"Implementation smoke only; not scientific evidence"
20260831_preresolution_fixed_smoke_v1,phase_2,o2o_preresolution_top7_vs_loss_active_v1,complete,,,f411ad13033b69dcb8abeeeee6970487b41c7d2e6c31074af7209b16e2dbc796,results/measurement_validation_20260831/preresolution_fixed_smoke_v1,2026-08-31T15:50:00+08:00,2026-08-31T15:51:10+08:00,false,"Implementation smoke only; not scientific evidence"
20260831_boundary_radius_smoke_v1,phase_2,continuous_assignment_boundary_radius_v1,complete,,,ffcd8761180189bcad32ecbe34a34fe55658a73baf0cd5d0fd66dc400c536be8,results/measurement_validation_20260831/boundary_radius_smoke_v1,2026-08-31T15:52:00+08:00,2026-08-31T15:53:00+08:00,false,"Superseded implementation smoke before base-domain correction"
20260831_boundary_reference_smoke_v2,phase_2,continuous_boundary_numpy_reference_subset_v1,complete,,,b7ab64472d12b5dd9aa8e5f46f61472cd4069758753ead9eba4d6d99bdfb5ab7,results/measurement_validation_20260831/boundary_reference_smoke_v2,2026-08-31T15:57:00+08:00,2026-08-31T15:58:00+08:00,false,"Superseded validation smoke before base-domain correction"
20260831T161235_rank_set_fixed_v1,phase_2,o2m_rank_set_decoupling_v1,complete,,c7b1e48a1a636881a981b7106c0c4793abd32749f9e680fda2d013cbe9f6b8b0,6a2888117f36afeb13bc0f04ed192c4e5970457dadb314d2ae41d29eebf96b27,runs/20260831T161235_rank_set_fixed_v1/artifact,2026-08-31T16:12:35+08:00,2026-08-31T16:24:26+08:00,true,"Formal fixed-1px Rank-Set discovery"
20260831T162551_rank_set_normalized_v1,phase_2,o2m_rank_set_decoupling_v1,complete,,0ff67cf3caed11fbdd943b5051fba431a31957066d22f58d2e45e51550a0459f,6a2888117f36afeb13bc0f04ed192c4e5970457dadb314d2ae41d29eebf96b27,runs/20260831T162551_rank_set_normalized_v1/artifact,2026-08-31T16:25:51+08:00,2026-08-31T16:37:33+08:00,true,"Formal equivalent-side kappa=.0625 Rank-Set discovery"
20260831T163900_preresolution_fixed_v1,phase_2,o2o_preresolution_top7_vs_loss_active_v1,complete,,c0af5fd07802c0480aa406513e958edb71cbca4b37368bf9720ff8c38908a12f,f411ad13033b69dcb8abeeeee6970487b41c7d2e6c31074af7209b16e2dbc796,runs/20260831T163900_preresolution_fixed_v1/artifact,2026-08-31T16:39:00+08:00,2026-08-31T16:59:34+08:00,true,"Formal fixed-1px O2O pre-resolution control"
20260831T164000_preresolution_normalized_v1,phase_2,o2o_preresolution_top7_vs_loss_active_v1,complete,,e8315403a38e110556021f328633846541d533060b930a6fd1497b01cf155664,f411ad13033b69dcb8abeeeee6970487b41c7d2e6c31074af7209b16e2dbc796,runs/20260831T164000_preresolution_normalized_v1/artifact,2026-08-31T16:59:34+08:00,2026-08-31T17:09:18+08:00,true,"Formal equivalent-side kappa=.0625 O2O pre-resolution control"
20260831T170918_boundary_discovery_v1,phase_2,continuous_assignment_boundary_radius_v1,failed,,2b2da9932d003e6a96c6cd73d1b8db321421c76d820bda47c761a502d302dd6e,ffcd8761180189bcad32ecbe34a34fe55658a73baf0cd5d0fd66dc400c536be8,runs/20260831T170918_boundary_discovery_v1/artifact,2026-08-31T17:09:18+08:00,2026-08-31T17:31:54+08:00,false,"Base-outside GT triggered legal_shift rejection and exposed a missing base-box-inside-domain precondition; partial outputs retained as validation history only"
20260831_boundary_reference_formal_v1,phase_2,continuous_boundary_numpy_reference_subset_v1,invalidated,,6c046e1208773314694490f5fa252d0ff924963c7faa36fdd9f03a5e33029698,b7ab64472d12b5dd9aa8e5f46f61472cd4069758753ead9eba4d6d99bdfb5ab7,runs/20260831_boundary_reference_formal_v1/artifact,,,false,"Never executed; dependency production v1 failed and source contract changed"
20260831_boundary_geometry_formal_v1,phase_2,assignment_boundary_geometry_v1,invalidated,,b1d57004c647f77eb7ace6cd5248d16bdc15309aa3565a2daabe524e0134ec4b,40065925cb61001c0dcc042bfbee0e573d2832ef12a10fffc3ac4492d6cb1586,runs/20260831_boundary_geometry_formal_v1/artifact,,,false,"Never executed; dependency production v1 failed"
20260831_boundary_primary_data_repeatability_v2,phase_2,continuous_assignment_boundary_radius_v1,complete,,,c0fa096e3ba36cdcafcaf23b36157141fd8d9d0f2f740c2afa543871fdf9db60,results/measurement_validation_20260831/boundary_radius_smoke_repeat_v2/per_direction_boundary_events.csv,,,false,"Implementation repeatability only: event CSV, curve CSV and selected-images primary data hashes matched exactly"
20260831_boundary_reference_smoke_v3,phase_2,continuous_boundary_numpy_reference_subset_v1,complete,,,6677982953b75685725c73d2548b15e299d4494a5cc5805670209b34afd5b19a,results/measurement_validation_20260831/boundary_reference_smoke_v3,2026-08-31T17:58:00+08:00,2026-08-31T17:59:00+08:00,false,"Post-fix validation smoke: 48/48 trajectories, zero mismatches"
20260831T174200_boundary_discovery_v2,phase_2,continuous_assignment_boundary_radius_v1,complete,,7e04e1e164a77b85c8b41cff6c41edff4cb13fa6cc03bcb99c38c90f9b2444a9,c0fa096e3ba36cdcafcaf23b36157141fd8d9d0f2f740c2afa543871fdf9db60,runs/20260831T174200_boundary_discovery_v2/artifact,2026-08-31T18:02:40+08:00,2026-08-31T21:29:24+08:00,false,"Formal v2 boundary scanner output complete: 300 images, 7,431 audited GTs, 29,724 directional rows; base-outside exclusions retained; independent reference and geometry qualification passed. Direct evidence_eligible remains false by policy because this row is upstream raw scanner output; registered claims are carried by the qualified reference/geometry ledger entries."
20260831_boundary_reference_formal_v2,phase_2,continuous_boundary_numpy_reference_subset_v1,complete,,0347ec168d77e65ac5425f51385e3606e45aefff32a51c73607c7a5525f283e4,6677982953b75685725c73d2548b15e299d4494a5cc5805670209b34afd5b19a,runs/20260831_boundary_reference_formal_v2/artifact,2026-08-31T21:41:29+08:00,2026-09-01T03:33:36+08:00,true,"Formal deterministic independent NumPy reference PASS: 30 forwards, 4,408/4,408 trajectories, zero mismatch, zero maximum radius difference; recursive output inventory PASS"
20260831_boundary_geometry_formal_v2,phase_2,assignment_boundary_geometry_v1,complete,,4fdde190c84523903efe506a9b86227767f0b282f96a5a6bb659bfc37906b176,87ba3955c3ea50bdf660d0d8472b2728f53382b294ffb5da46c4346e778882b8,runs/20260831_boundary_geometry_formal_v2/artifact,2026-09-01T03:37:28+08:00,2026-09-01T03:40:22+08:00,true,"Formal boundary geometry complete: KM/Aalen-Johansen/RMSR, tau 0.125, three endpoints, 5,000 bootstrap replicates; all eight output hashes and recursive inventory PASS"
20260831_margin_shape_formal_v1,phase_2_supplementary,margin_shape_sensitivity_v1,complete,,c20f703049030252ebc3dfd322c9eed2c28d76e6d1fd9ea741a7e38f07ac0112,e71bf06eecc76e239e5b570c6f26c359d4d16e986e584fb48bed9b1d0b70cfb7,runs/20260831_margin_shape_formal_v1/artifact,2026-09-01T08:27:19+08:00,2026-09-01T08:33:49+08:00,true,"Validated supplementary diagnostic shape sensitivity: 6,410 GTs/288 images, 5 image-grouped OOF folds, training-fold-only spline knots, and 5,000 image-cluster bootstrap replicates per outcome; 84/84 terminal checks and recursive inventory passed; no causal, best-predictor, or equivalence claim"
20260831_sample_efficiency_1000_v1,phase_2_supplementary,audit_sample_efficiency_1000_v1,complete,,ea5824d39e755bfbf0918be6ea928826ba8d7d6b9e02aa9f071f617381efd3d2,2514a0ee5fb284088c47cbef58ef850cfd1d05b5fe7fb0eaa684bcb6f066a53d,runs/20260831_sample_efficiency_1000_v1/artifact,2026-09-01T08:47:15+08:00,2026-09-01T08:47:53+08:00,true,"Validated supplementary engineering evidence: 5 budgets x 1,000 outcome-blind stratified repeats, no nested bootstrap; 48/48 terminal checks and recursive inventory passed; supports dominant-signature screening, not precise effect estimation or power claims"
