contract,stage,rule,count,denominator,source_artifact,executable_field,notes,source_sha256,source_sha256
fixed,widest_eligible_endpoint_population,manifest focal GTs in frozen size domain,7444,7444,results\measurement_validation_20260831\fixed_branch_replay_v1\per_gt.csv,manifest.focal_gt_by_bin,Entry population before legal-shift row emission.,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a
fixed,exclude_no_legal_shift,no legal cardinal replay row emitted,10,7444,results\measurement_validation_20260831\fixed_branch_replay_v1\per_gt.csv,manifest.focal_gt_by_bin - per_gt.csv rows,Mutually exclusive first exclusion; inferred from executable writer emitting per_gt only when rows is nonempty.,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a
fixed,audited_endpoint_rows,at least one legal direction,7434,7444,results\measurement_validation_20260831\fixed_branch_replay_v1\per_gt.csv,per_gt.csv row presence,Rows remaining after no-legal-shift exclusion.,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a
fixed,exclude_base_assigned_o2o_unavailable,base post-conflict assigned O2O identity is null,169,7434,results\measurement_validation_20260831\fixed_branch_replay_v1\per_gt.csv,per_gt.o2o_active == empty,Mutually exclusive next exclusion.,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a
fixed,base_assigned_o2o_present,base assigned O2O identity defined,7265,7434,results\measurement_validation_20260831\fixed_branch_replay_v1\per_gt.csv,per_gt.o2o_active != empty,Rows eligible for identity fragility; runner not needed intrinsically.,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a
fixed,exclude_runner_positive_alternative_unavailable,O2O or O2M runner required by common-valid margin support is null,887,7265,results\measurement_validation_20260831\fixed_branch_replay_v1\per_gt.csv,per_gt.o2o_runner == empty OR per_gt.o2m_runner == empty,Mutually exclusive final exclusion to Table-1 common-valid support.,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a
fixed,branch_common_valid_support,common_valid_margin == 1,6378,7434,results\measurement_validation_20260831\fixed_branch_replay_v1\per_gt.csv,per_gt.common_valid_margin == 1,Resulting branch support; common_valid_margin is margin is not None AND m_margin is not None.,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a
fixed,diagnostic_shifted_identity_unavailable,any legal direction has null shifted O2O identity,422,7434,results\measurement_validation_20260831\fixed_branch_replay_v1\per_gt.csv,per_direction.o2o_active_shift == empty,Descriptive event state; not an endpoint-support exclusion when base identity is defined.,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a
fixed,diagnostic_o2m_rank_empty,base O2M assigned-set Top-1 helper is null,112,7434,results\measurement_validation_20260831\fixed_branch_replay_v1\per_gt.csv,per_gt.o2m_rank == empty,Structural undefined for O2M Top-1; overlaps other missing-state categories and is not a separate flow exclusion.,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a
fixed,diagnostic_o2m_positive_count_zero,post-conflict O2M positive-count field is zero,182,7434,results\measurement_validation_20260831\fixed_branch_replay_v1\per_gt.csv,per_gt.o2m_positive_count == 0,Not identical to o2m_rank null in this executable artifact; diagnostic only.,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a,0596d59486c5da70a577a6928f9b14fddc6c1ba115511e20486175dabada0d7a
equivalent,widest_eligible_endpoint_population,manifest focal GTs in frozen size domain,7444,7444,results\reviewer_controls_20260829\formal_s0e300_k00625\per_gt.csv,manifest.focal_gt_by_bin,Entry population before legal-shift row emission.,bf6d2f87ec2b0922427870218d3341fb0d33a45b8d8794591e927bc0f35993de,bf6d2f87ec2b0922427870218d3341fb0d33a45b8d8794591e927bc0f35993de
